Country,state,route,year,month,day,Obs,TotalSpp,StartTemp,EndTemp,TempScale,StartWind,EndWind,StartSky,EndSky,StartTime,EndTime,assistant,RunType
840,53,001,1979,7,3,        980300,55,30,60,F,0,2,4,0,0519,0935,0,1
840,53,001,1981,6,23,        980252,66,59,62,F,1,2,2,1,0514,1015,0,1
840,53,001,1982,6,22,        980252,60,55,59,F,0,0,2,5,0509,0915,0,1
840,53,001,1983,7,6,        980252,56,55,63,F,0,0,0,2,0515,0921,0,1
840,53,001,1984,7,7,       1150431,68,36,65,F,0,0,0,0,0509,1030,0,1
840,53,001,1985,6,29,       1190283,58,53,76,F,0,1,1,1,0509,0950,0,1
840,53,001,1986,6,27,       1190283,63,47,74,F,1,1,1,1,0509,0959,0,1
840,53,001,1987,6,28,       1190283,60,32,64,F,1,1,0,0,0509,1003,0,1
840,53,001,1988,6,11,       1190283,72,28,63,F,1,3,0,0,0509,0915,0,1
840,53,001,1989,6,2,       1190283,83,42,80,F,0,0,0,0,0509,0937,0,1
840,53,001,1990,6,9,       1190283,77,48,64,F,2,2,2,1,0509,0928,0,1
840,53,001,1991,6,8,       1190283,71,51,63,F,0,2,2,2,0509,0926,0,1
840,53,001,1992,6,14,       1190283,63,43,56,F,2,2,2,2,0509,0917,0,1
840,53,001,1993,6,4,       1190283,61,36,58,F,0,2,1,0,0509,0908,0,1
840,53,001,1994,6,10,       1150711,45,45,55,F,0,1,0,1,0509,0912,0,1
840,53,001,1995,6,28,        980684,46,40,62,F,0,1,0,0,0515,0940,0,1
840,53,001,1996,6,16,       1190283,60,43,71,F,0,1,0,0,0509,0940,0,1
840,53,001,1997,6,9,       1190283,54,38,70,F,0,1,0,0,0509,0916,1,1
840,53,001,1998,7,1,       1190283,47,56,72,F,1,1,0,0,0510,1005,0,1
840,53,001,1999,6,19,        990481,50,39,72,F,0,3,0,1,0509,1059,1,1
840,53,001,2000,6,17,        990481,51,38,67,F,0,2,0,0,0509,1109,1,1
840,53,001,2001,7,1,        990481,46,56,73,F,0,2,2,0,0509,1008,1,1
840,53,001,2002,6,15,        990481,50,36,69,F,0,0,0,0,0509,1045,1,1
840,53,001,2009,6,17,       1030167,56,42,68,F,0,2,0,2,0509,0929,0,1
840,53,001,2010,6,23,        990380,56,55,79,F,0,0,4,2,0530,1131,0,1
840,53,001,2011,6,29,        990380,57,57,79,F,0,1,1,1,0518,1132,0,1
840,53,001,2012,6,27,        990380,45,62,74,F,0,0,2,2,0509,1034,0,1
840,53,001,2013,6,11,        990380,55,47,70,F,0,0,0,0,0511,1035,0,1
