RootFolder,File,RelativePath,DateTime,DeleteFlag,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment,
22-305_275,IMG_0001.JPG,275\DCIM, 2022-11-14 18:15:24,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0002.JPG,275\DCIM, 2022-11-14 18:15:25,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0003.JPG,275\DCIM, 2022-11-14 18:15:27,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0004.JPG,275\DCIM, 2022-11-14 18:15:30,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0005.JPG,275\DCIM, 2022-11-14 18:15:32,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0006.JPG,275\DCIM, 2022-11-14 18:16:30,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0007.JPG,275\DCIM, 2022-11-14 18:16:31,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0008.JPG,275\DCIM, 2022-11-14 18:16:33,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0009.JPG,275\DCIM, 2022-11-14 18:16:35,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0010.JPG,275\DCIM, 2022-11-14 18:16:38,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0011.JPG,275\DCIM, 2022-11-14 18:18:44,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0012.JPG,275\DCIM, 2022-11-14 18:18:46,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0013.JPG,275\DCIM, 2022-11-14 18:18:48,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0014.JPG,275\DCIM, 2022-11-14 18:18:50,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0015.JPG,275\DCIM, 2022-11-14 18:18:53,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0016.JPG,275\DCIM, 2022-11-14 18:19:56,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0017.JPG,275\DCIM, 2022-11-14 18:19:57,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
22-305_275,IMG_0018.JPG,275\DCIM, 2022-11-14 18:19:59,false,false,1,275,1,0,0,0,0,0,0,0,,0,,
