RootFolder,File,RelativePath,DateTime,DeleteFlag,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment,
23-002_242_P,IMG_0001.JPG,DCIM\100_BTCF, 2023-01-09 11:16:54,false,true,2,242,0,0,0,0,0,0,0,0,,0,setup,
23-002_242_P,IMG_0002.JPG,DCIM\100_BTCF, 2023-01-09 11:16:56,false,true,2,242,0,0,0,0,0,0,0,0,,0,setup,
23-002_242_P,IMG_0003.JPG,DCIM\100_BTCF, 2023-01-09 11:16:58,false,true,2,242,0,0,0,0,0,0,0,0,,0,setup,
23-002_242_P,IMG_0004.JPG,DCIM\100_BTCF, 2023-01-09 11:17:01,false,true,2,242,0,0,0,0,0,0,0,0,,0,setup,
23-002_242_P,IMG_0005.JPG,DCIM\100_BTCF, 2023-01-09 11:17:03,false,true,2,242,0,0,0,0,0,0,0,0,,0,setup,
23-002_242_P,IMG_0006.JPG,DCIM\100_BTCF, 2023-01-09 11:33:30,false,true,2,242,0,0,6,0,0,0,0,0,,0,,
23-002_242_P,IMG_0007.JPG,DCIM\100_BTCF, 2023-01-09 11:33:32,false,true,2,242,0,0,5,0,0,0,0,0,,0,,
23-002_242_P,IMG_0008.JPG,DCIM\100_BTCF, 2023-01-09 11:33:34,false,true,2,242,0,0,5,0,0,0,0,0,,0,,
23-002_242_P,IMG_0009.JPG,DCIM\100_BTCF, 2023-01-09 11:33:36,false,true,2,242,0,0,6,0,0,0,0,0,,0,,
23-002_242_P,IMG_0010.JPG,DCIM\100_BTCF, 2023-01-09 11:33:38,false,true,2,242,0,0,6,0,0,0,0,0,,0,,
23-002_242_P,IMG_0011.JPG,DCIM\100_BTCF, 2023-01-09 11:39:33,false,true,2,242,0,0,4,0,0,0,0,0,,0,,
23-002_242_P,IMG_0012.JPG,DCIM\100_BTCF, 2023-01-09 11:39:35,false,true,2,242,0,0,3,0,0,0,0,0,,0,,
23-002_242_P,IMG_0013.JPG,DCIM\100_BTCF, 2023-01-09 11:39:37,false,true,2,242,0,0,0,0,0,0,0,0,,0,,
23-002_242_P,IMG_0014.JPG,DCIM\100_BTCF, 2023-01-09 11:39:39,false,true,2,242,0,0,4,0,0,0,0,0,,0,,
23-002_242_P,IMG_0015.JPG,DCIM\100_BTCF, 2023-01-09 11:39:41,false,true,2,242,0,0,4,0,0,0,0,0,,0,,
23-002_242_P,IMG_0016.JPG,DCIM\100_BTCF, 2023-01-09 11:40:50,false,true,2,242,0,0,11,0,0,0,0,0,,0,,
23-002_242_P,IMG_0017.JPG,DCIM\100_BTCF, 2023-01-09 11:40:51,false,true,2,242,0,0,11,0,0,0,0,0,,0,,
23-002_242_P,IMG_0018.JPG,DCIM\100_BTCF, 2023-01-09 11:40:54,false,true,2,242,0,0,10,0,0,0,0,0,,0,,
23-002_242_P,IMG_0019.JPG,DCIM\100_BTCF, 2023-01-09 11:40:56,false,true,2,242,0,0,9,0,0,0,0,0,,0,,
23-002_242_P,IMG_0020.JPG,DCIM\100_BTCF, 2023-01-09 11:40:58,false,true,2,242,0,0,9,0,0,0,0,0,,0,,
23-002_242_P,IMG_0021.JPG,DCIM\100_BTCF, 2023-01-09 11:43:20,false,true,2,242,0,0,6,0,0,0,0,0,,0,,
