RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
23-005_275_P,IMG_0001.JPG,DCIM\100_BTCF, 2022-01-19 10:36:50,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0002.JPG,DCIM\100_BTCF, 2022-01-19 10:36:52,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0003.JPG,DCIM\100_BTCF, 2022-01-19 10:36:54,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0004.JPG,DCIM\100_BTCF, 2022-01-19 10:36:56,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0005.JPG,DCIM\100_BTCF, 2022-01-19 10:36:58,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0006.JPG,DCIM\100_BTCF, 2022-01-19 10:41:27,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0007.JPG,DCIM\100_BTCF, 2022-01-19 10:41:29,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0008.JPG,DCIM\100_BTCF, 2022-01-19 10:41:31,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0009.JPG,DCIM\100_BTCF, 2022-01-19 10:41:33,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0010.JPG,DCIM\100_BTCF, 2022-01-19 10:41:35,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0011.JPG,DCIM\100_BTCF, 2022-01-19 10:42:44,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0012.JPG,DCIM\100_BTCF, 2022-01-19 10:42:46,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0013.JPG,DCIM\100_BTCF, 2022-01-19 10:42:48,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0014.JPG,DCIM\100_BTCF, 2022-01-19 10:42:50,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0015.JPG,DCIM\100_BTCF, 2022-01-19 10:42:52,TRUE,3,275,0,0,0,0,0,0,0,0,,0,deployement
23-005_275_P,IMG_0016.JPG,DCIM\100_BTCF, 2022-01-19 12:23:19,TRUE,3,275,0,0,1,0,0,0,0,0,,0,
23-005_275_P,IMG_0017.JPG,DCIM\100_BTCF, 2022-01-19 12:23:21,TRUE,3,275,0,0,1,0,0,0,0,0,,0,
23-005_275_P,IMG_0018.JPG,DCIM\100_BTCF, 2022-01-19 12:23:23,TRUE,3,275,0,0,1,0,0,0,0,0,,0,
