RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
24-008_292,IMG_0001.MP4,292, 2024-01-23 13:07:20,TRUE,8,292,0,0,0,0,0,0,0,0,,0,set up
24-008_292,IMG_0002.MP4,292, 2024-01-23 13:14:18,TRUE,8,292,0,0,0,0,0,0,0,0,,0,set up
24-008_292,IMG_0003.MP4,292, 2024-01-23 13:15:28,TRUE,8,292,0,0,0,0,0,0,0,0,,0,set up
24-008_292,IMG_0004.MP4,292, 2024-01-23 13:16:36,TRUE,8,292,0,0,0,0,0,0,0,0,,0,set up
24-008_292,IMG_0005.MP4,292, 2024-01-23 13:17:44,TRUE,8,292,0,0,0,0,0,0,0,0,,0,set up
24-008_292,IMG_0006.MP4,292, 2024-01-23 16:50:52,FALSE,8,292,0,0,0,0,0,0,0,0,elk,1,
24-008_292,IMG_0007.MP4,292, 2024-01-23 16:52:02,FALSE,8,292,0,0,0,0,0,0,0,0,elk,1,
24-008_292,IMG_0008.MP4,292, 2024-01-23 16:53:18,FALSE,8,292,0,0,0,0,0,0,0,0,elk,1,
24-008_292,IMG_0009.MP4,292, 2024-01-23 16:54:26,FALSE,8,292,0,0,0,0,0,0,0,0,elk,1,
24-008_292,IMG_0010.MP4,292, 2024-01-24 04:45:08,FALSE,8,292,0,0,0,0,0,0,0,1,,0,
24-008_292,IMG_0011.MP4,292, 2024-01-24 04:51:12,FALSE,8,292,0,0,0,0,0,0,0,1,,0,
24-008_292,IMG_0012.MP4,292, 2024-01-24 05:14:30,FALSE,8,292,0,0,0,0,0,0,0,1,,0,
24-008_292,IMG_0013.MP4,292, 2024-01-24 07:35:40,TRUE,8,292,0,0,2,0,0,0,0,0,,0,
24-008_292,IMG_0014.MP4,292, 2024-01-24 07:42:46,TRUE,8,292,0,2,2,0,0,0,0,0,,0,
24-008_292,IMG_0015.MP4,292, 2024-01-24 07:50:02,TRUE,8,292,0,0,2,0,0,0,0,0,,0,
24-008_292,IMG_0016.MP4,292, 2024-01-24 07:51:36,TRUE,8,292,0,0,2,0,0,0,0,0,,0,
24-008_292,IMG_0017.MP4,292, 2024-01-24 07:53:24,TRUE,8,292,0,0,2,0,0,0,0,0,,0,
24-008_292,IMG_0018.MP4,292, 2024-01-24 07:57:28,TRUE,8,292,0,0,5,0,0,0,0,0,,0,
24-008_292,IMG_0019.MP4,292, 2024-01-24 07:59:08,TRUE,8,292,0,0,5,0,0,0,0,0,,0,
24-008_292,IMG_0020.MP4,292, 2024-01-24 08:01:52,TRUE,8,292,0,0,3,0,0,0,0,0,,0,
24-008_292,IMG_0021.MP4,292, 2024-01-24 08:05:10,TRUE,8,292,0,0,4,0,0,0,0,0,,0,
24-008_292,IMG_0022.MP4,292, 2024-01-24 08:10:10,TRUE,8,292,0,0,3,0,0,0,0,0,,0,
