RootFolder,File,RelativePath,DateTime,DayTime,deployement_number,photo_camera_id,cougar,raven,magpie,coyote,golden_eagle,bald_eagle,wolf,fox,other_species,other_count,comment
25-015_322,IMG_0001.MP4,DCIM\100_BTCF, 2025-02-02 15:36:44,true,13,322,0,0,0,0,0,0,0,0,,0,deployment
25-015_322,IMG_0002.MP4,DCIM\100_BTCF, 2025-02-02 15:38:00,true,13,322,0,0,0,0,0,0,0,0,,0,deployment
25-015_322,IMG_0003.MP4,DCIM\100_BTCF, 2025-02-02 16:57:48,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0004.MP4,DCIM\100_BTCF, 2025-02-02 16:59:06,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0005.MP4,DCIM\100_BTCF, 2025-02-02 17:00:14,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0006.MP4,DCIM\100_BTCF, 2025-02-02 17:01:24,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0007.MP4,DCIM\100_BTCF, 2025-02-02 17:02:34,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0008.MP4,DCIM\100_BTCF, 2025-02-02 17:03:42,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0009.MP4,DCIM\100_BTCF, 2025-02-02 17:04:52,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0010.MP4,DCIM\100_BTCF, 2025-02-02 17:05:58,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0011.MP4,DCIM\100_BTCF, 2025-02-02 17:07:06,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0012.MP4,DCIM\100_BTCF, 2025-02-02 17:08:14,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0013.MP4,DCIM\100_BTCF, 2025-02-02 17:09:22,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0014.MP4,DCIM\100_BTCF, 2025-02-02 17:10:34,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0015.MP4,DCIM\100_BTCF, 2025-02-02 17:11:56,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0016.MP4,DCIM\100_BTCF, 2025-02-02 17:13:15,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0017.MP4,DCIM\100_BTCF, 2025-02-02 17:14:22,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0018.MP4,DCIM\100_BTCF, 2025-02-02 17:15:34,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0019.MP4,DCIM\100_BTCF, 2025-02-02 17:16:53,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0020.MP4,DCIM\100_BTCF, 2025-02-02 17:18:08,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0021.MP4,DCIM\100_BTCF, 2025-02-02 17:19:18,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0022.MP4,DCIM\100_BTCF, 2025-02-02 17:20:27,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0023.MP4,DCIM\100_BTCF, 2025-02-02 17:21:38,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0024.MP4,DCIM\100_BTCF, 2025-02-02 17:22:44,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0025.MP4,DCIM\100_BTCF, 2025-02-02 17:23:52,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0026.MP4,DCIM\100_BTCF, 2025-02-02 17:25:00,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0027.MP4,DCIM\100_BTCF, 2025-02-02 17:26:10,false,13,322,1,0,0,0,0,0,0,0,,0,
25-015_322,IMG_0028.MP4,DCIM\100_BTCF, 2025-02-02 17:27:18,false,13,322,1,0,0,0,0,0,0,0,,0,
