Kill .,Cougar Kill .,STUDY PERIOD,KILL TYPE,PACK TYPE,SPECIES,SPECIES ID,DOD,DOD ESTIMATED,DATE DETECTED GROUND,DATE DETECTED AIR,N RANGE,LOCATION,GROUND EAST,GROUND NORTH,ELEV,EST GROUND EAST,EST GROUND NORTH,AERIAL EAST,AERIAL NORTH,SEX,MALE ANTER CONDITION,AGE CLASS,TEETH WEAR (FIELD),COD,COD EXPLANATION,WOLVES PRESENT,. OF WOLVES,PACK,COUGARS PRESENT,. OF COUGARS,PRED/SCAVENGER PRESENT,. OF GRIZZLY,. OF BLACK BEAR,. OF COYOTE,. OF FOX,. OF MT LION,. OF RAVEN,. OF MAGPIE,. OF BALD EAGLE,. OF GOLDEN EAGLE,. OF UNKNOWN EAGLE,. OF WOLVES SCAVENGED,WOLF PACK SCAVENGED,PRED/SCAVENGER OTHER,PRED/SCAVENGER UNKNOWN,OTHER COMMENTS,WOLF SCAVENGE UTILIZATION,KILL DISCOVERED,GPS CLUSTER .,RANDOM POINT .,OBS
21-189,,EW 2021,WOLF KILL,AIR & GPS CLUSTER,ELK,,11/24/2021,NO,12/1/2021,11/24/2021,YES,ANTELOPE BASIN,548554,4966477,,,,548553,4966431,MALE,POLISHED,ADULT,3,DEFINITE WOLF,"VERY FRESH KILL, BLOOD, BORKEN BRANCHES","1154F, 1272M, 1273M, 1275M, 1278M",13,RESCUE CREEK,,,YES,,,,,,4,1,,,,13,,,,,,AERIAL & GPS CLUSTER,"31-1273M, 32-1275M",,DSMITH/MPACKILA
21-198,,EW 2021,SCAVENGE FRESH CARCASS,AIR,BISON,,10/27/2021,YES,11/25/2021,11/25/2021,YES,BLACKTAIL PONDS,,,,,,531371,4978100,MALE,,ADULT,,OTHER,BISON FELL INTO BLACKTAIL PONDS,"1014M, 1203F, 1234M, 1267F",12,WAPITI LAKE,,,YES,,,2,,,6,4,,,,10,WAPITI LAKE,,,,,BOTH AIR & GROUND,,,DSTAHLER/MPACKILA/JSUNDERRAJ/HBEROSKE
21-200,,EW 2021,WOLF KILL,GROUND,ELK,,11/29/2021,NO,11/29/2021,11/29/2021,YES,HELLROARING,,,,542000,4979800,541928,4979967,UNKNOWN,,CALF,,DEFINITE WOLF,"WATCHED WOLVES CHASE IT INOT A GULLY, SAW KILL AFTER","907F, 1048M, 1228F, 1229F, 1276F",20,JUNCTION BUTTE,,,YES,,,,,,8,12,,,,15,,,,"WOLVES WERE OBSERVED CHASING ELK CALF INTO A GULLY NEAR HELLROARING CREEK, WHERE THEY KILLED IT OUT OF SIGHT. THEY FINSIHED THE KILL IN AROUND AN HOUR BEFORE LEAVING",,BOTH AIR & GROUND,,,TBLAND/HBEROSKE/DSTAHLER/MPACKILA
21-203,,EW 2021,WOLF KILL,AIR & GPS CLUSTER,ELK,,11/30/2021,NO,12/7/2021,11/30/2021,YES,NORTH OF JUNCTION BUTTE,547578,4975205,,,,547557,4975208,FEMALE,,OLD ADULT,>10,DEFINITE WOLF,"SAW HUNT, CARCASS DRAGGED FROM RUMEN","1154F, 1273M, 1272M, 175M, 1278M",14,RESCUE CREEK,,,YES,,,,,,999,2,,,,14,,,,"COLLARED ELK, BUT COULD NOT FIND COLLAR AT NECROPSY, NOT BEACONING",,AERIAL & GPS CLUSTER,48-1275M,,DSMITH/MPACKILA
21-214,,EW 2021,WOLF KILL,AIR & GPS CLUSTER,ELK,,12/5/2021,NO,12/12/2021,12/6/2021,YES,S OF TROUGH,546915,4976961,,,,546936,4976938,FEMALE,,OLD ADULT,15-Oct,PROBABLE WOLF,"WOLVES AT FRESHKILL, BLOOD ALL OVER GROUND, MANGLED SAGEBRUSH","1154F, 1272M, 1273M, 1275M, 1278M",13,RESCUE CREEK,,,YES,,,,,,18,3,,,,13,,,,"MARK HAD DOD AS 12/6, BUT FIRST GPD PTS IN THE AREA WERE ON 12/5. NOT SURE IF THAT'S CONINCIDENCE OF DID IS ACTUALLY 12/5. GPS SHOWS THEY LEFT 4PM 12/5 AND CAME BACK AT 12AM AND 9AM 12/6",,AERIAL,,,MPACKILA
22-085,,LW 2022,WOLF KILL,"GROUND, AIR, & GPS CLUSTER",ELK,,3/23/2022,NO,3/23/2022,3/23/2022,YES,ROSE CREEK,561959,4973500,,561820,4973380,561963,4973510,MALE,POLISHED,ADULT,4,PROBABLE WOLF,WOLVES ON KILL IN GULLY; NO VISUAL OF CARCASS,"1339M, 1340M, 1341F, 0907F, 1048M, 1229F, 1276F",15,JUNCTION BUTTE,,,YES,,,3,,,16,4,,1,,,,,,NO VISUAL OF CARCASS. BIRDS PRESENT. TERRAIN TRAP IN GULLY. WOLVES MOVED BACK AND FORTH FROM GULLY ALL DAY. PLANE WAS ABLE TO ID AS A BULL ELK. LOCATION IN GULLY INDICATED A POSSIBLE WOLF KILL. BROKEN BRANCHES.,,AERIAL & GROUND & GPS CLUSTER,"1341f-51, 1340M-48",,TBLAND/JSUNDERRAJ/DSMITH/MPACKILA
22-071,,LW 2022,WOLF KILL,LONE WOLF,MULE DEER,,3/14/2022,NO,,3/14/2022,YES,UPPER TOWER CREEK,,,,,,538238,4965175,UNKNOWN,,FAWN,,PROBABLE WOLF,"FRESH BLOOD, 1336M BEDDED NEAR CARCASS",1336M,1,1336M,,,NO,0,0,0,0,0,0,0,0,0,0,1,,,,MARK TOOK A PHOTO AND MY BEST ASSESSMENT WAS MULE DEER FAWN. SAVED PHOTO IN STAHLER 3_18_22 FOLDER IN IMAGES,,AERIAL,,,MPACKILA
21-188,,EW 2021,SCAVENGE FRESH CARCASS,GROUND,BISON,,11/21/2021,NO,,11/22/2021,YES,ROSE CREEK,561018,4973824,,,,561029,4973821,MALE,,ADULT,,UNKNOWN,SEEMED LIKE WOLVES CAME ACROSS ALREADY DEAD BISON,1048M,5,JUNCTION BUTTE,,,YES,,,,,,2,3,,,,5,JUNCTION BUTTE,,,REST OF PACK NEAR SLOUGH OR UP LAMAR. SEEMED LIKE 1048M AND OTHERS CAME ACROSS ALREADY DEAD BISON,,AERIAL,,,DSTAHLER/MPACKILA
22-003,,,,,ELK,,1/8/2022,NO,,1/9/2022,YES,UPPER BLACKTAIL,,,,,,534645,4977534,MALE,POLISHED,ADULT,,PROBABLE WOLF,WOLVES FEEDING ON FRESH CARCASS,"1265F, 1267F, 1329M, 1330F, 1331F",13,WAPITI LAKE,,,YES,,,,,,7,,,,,,,,,,,AERIAL,,,"DSTAHLER, MPACKILA"
22-085,,LW 2022,WOLF KILL,GROUND & GPS CLUSTER,ELK,,3/23/2022,NO,3/23/2022,3/23/2022,YES,ROSE CREEK,561959,4973500,,561820,4973380,561963,4973510,MALE,POLISHED,ADULT,4,PROBABLE WOLF,WOLVES ON KILL IN GULLY; NO VISUAL OF CARCASS,"1339M, 1340M, 1341F, 0907F, 1048M, 1229F, 1276F",15,JUNCTION BUTTE,,,YES,,,,,,16,,,,,,,,,NO VISUAL OF CARCASS. BIRDS PRESENT. TERRAIN TRAP IN GULLY. WOLVES MOVED BACK AND FORTH FROM GULLY ALL DAY. PLANE WAS ABLE TO ID AS A BULL ELK. LOCATION IN GULLY INDICATED A POSSIBLE WOLF KILL. BROKEN BRANCHES.,,AERIAL & GROUND & GPS CLUSTER,"1341f-51, 1340M-48",,TBLAND/JSUNDERRAJ/DSMITH/MPACKILA
