 ,Kill .,Date,Time,Area ID,Species ID,Number of Animals,Behavior ID,Consumption Stage (pile 1),Consumption Stage (pile 2),Consumption Stage (pile 3),. of obs,. of cars,Notes,Peck Count,sample period,Field1,Proofed
6,04-197,5/10/2004,20:01,AT CARCASS,RAVEN,3,FEED,1,,,6,4,[START COLLECTION],,,,
4019,04-197,5/10/2004,20:01,CARCASS ARENA,RAVEN,2,GROUND,1,,,6,4,[START COLLECTION],,,,
4020,04-197,5/10/2004,20:01,CARCASS ARENA,COYOTE,1,TRAVEL,1,,,6,4,[START COLLECTION],,,,
4021,04-197,5/10/2004,20:14,AT CARCASS,COYOTE,1,FEED,1,,,2,2,,,,,
4022,04-197,5/10/2004,20:14,CARCASS ARENA,RAVEN,2,GROUND,1,,,2,2,,,,,
4023,04-197,5/10/2004,20:14,FIELD OF VIEW,RAVEN,2,GROUND,1,,,2,2,,,,,
4024,04-197,5/10/2004,20:29,AT CARCASS,COYOTE,1,FEED,1,,,1,1,,,,,
4025,04-197,5/10/2004,20:29,CARCASS ARENA,RAVEN,2,PERCHED,1,,,1,1,,,,,
4026,04-197,5/10/2004,20:29,CARCASS ARENA,COYOTE,1,TRAVEL,1,,,1,1,,,,,
4027,04-197,5/10/2004,20:29,FIELD OF VIEW,BALD EAGLE,1,PERCHED,1,,,1,1,,,,,
4028,04-197,5/11/2004,5:54,AT CARCASS,WOLF,1,FEED,2,,,10,5,,,,,
4029,04-197,5/11/2004,5:54,AT CARCASS,RAVEN,2,FEED,2,,,10,5,,,,,
4030,04-197,5/11/2004,5:54,CARCASS ARENA,RAVEN,3,GROUND,2,,,10,5,,,,,
4031,04-197,5/11/2004,5:54,FIELD OF VIEW,WOLF,6,TRAVEL,2,,,10,5,,,,,
4032,04-197,5/11/2004,6:05,AT CARCASS,RAVEN,1,PERCHED,2,,,12,6,,,,,
4033,04-197,5/11/2004,6:05,AT CARCASS,GRIZZLY BEAR,1,FEED,2,,,12,6,,,,,
